TotalTime,Network,Compute,IO,Partitions,Samples,Rate,Input,Output,Delta
1676,83,15,2,1,120000,71599,0,32556,-32556
1750,83,14,2,1,120000,68571,0,68415,-68415
1641,81,17,3,1,120000,73126,0,72993,-72993
1672,79,19,2,1,120000,71770,0,71599,-71599
1691,82,16,2,1,120000,70964,0,70796,-70796
1699,82,16,3,1,120000,70630,0,70464,-70464
1706,80,17,3,1,120000,70340,0,32328,-32328
1746,78,19,3,1,120000,68729,0,68571,-68571
1725,83,15,2,1,120000,69565,0,69444,-69444
1695,83,15,2,1,120000,70796,0,70630,-70630
1570,80,17,3,1,120000,76433,0,76239,-76239
1567,79,18,2,1,120000,76579,0,76433,-76433
1239,82,15,2,1,120000,96852,0,37003,-37003
1221,82,15,2,1,120000,98280,0,98039,-98039
1398,84,14,2,1,120000,85837,0,85714,-85714
1145,79,19,2,1,120000,104803,0,104530,-104530
1075,82,16,2,1,120000,111628,0,111317,-111317
1066,82,16,3,1,120000,112570,0,112254,-112254
944,81,16,3,1,120000,127119,0,40650,-40650
972,79,18,2,1,120000,123457,0,123077,-123077
953,82,16,2,1,120000,125918,0,125523,-125523
990,83,15,2,1,120000,121212,0,120846,-120846
953,82,15,3,1,120000,125918,0,125523,-125523
934,79,18,2,1,120000,128480,0,128205,-128205
906,82,15,2,1,120000,132450,0,41195,-41195
949,84,14,2,1,120000,126449,0,126183,-126183
911,81,16,3,1,120000,131723,0,131291,-131291
932,80,18,2,1,120000,128755,0,128342,-128342
926,82,16,2,1,120000,129590,0,129171,-129171
932,83,15,2,1,120000,128755,0,128480,-128480
916,82,15,3,1,120000,131004,0,41110,-41110
923,80,18,2,1,120000,130011,0,129590,-129590
1008,85,13,2,1,120000,119048,0,118694,-118694
943,84,14,2,1,120000,127253,0,126984,-126984
949,82,15,3,1,120000,126449,0,126050,-126050
943,80,18,2,1,120000,127253,0,126850,-126850
903,83,15,2,1,120000,132890,0,41294,-41294
923,83,15,2,1,120000,130011,0,129590,-129590
922,82,16,3,1,120000,130152,0,129870,-129870
952,79,18,2,1,120000,126050,0,125786,-125786
911,83,15,2,1,120000,131723,0,131435,-131435
962,83,14,3,1,120000,124740,0,124352,-124352
912,81,16,3,1,120000,131579,0,41082,-41082
916,79,18,3,1,120000,131004,0,130577,-130577
906,83,15,2,1,120000,132450,0,132159,-132159
933,83,14,2,1,120000,128617,0,128342,-128342
1063,84,13,2,1,120000,112888,0,112676,-112676
966,80,17,2,1,120000,124224,0,123967,-123967
930,82,16,2,1,120000,129032,0,40775,-40775
916,82,15,2,1,120000,131004,0,130719,-130719
397,79,16,5,1,54000,136020,0,135338,-135338
475,85,12,3,1,54000,113684,0,113208,-113208
436,82,15,3,1,54000,123853,0,123288,-123288
362,82,15,3,1,54000,149171,0,147945,-147945
381,81,17,2,1,54000,141732,0,22585,-22585
393,84,14,2,1,54000,137405,0,136709,-136709
375,83,15,3,1,54000,144000,0,143236,-143236
397,81,17,3,1,54000,136020,0,135338,-135338
401,83,15,2,1,54000,134663,0,133663,-133663
384,79,18,3,1,54000,140625,0,139896,-139896
